회사명,주식,혼합주식,혼합채권,채권,투자계약,재간접,단기금융,파생형,부동산,실물,특별자산,혼합자산,기업성장,기관전용 사모펀드,투자일임기타,합계,위탁운용,전일대비,전년대비
알세온코리아자산운용,0,0,0,0,0,0,0,0,494227834313,0,709715941726,30157897799,0,0,0,1234101673838,0,1596107265,154167999431
알지자산운용,0,1405536753,0,0,0,3886004056,0,0,0,0,0,0,0,0,0,5291540809,200000000,2974509,-259458288
알파벳자산운용,0,0,30232818704,0,0,0,0,0,0,0,0,2507177725,0,0,0,32739996429,0,-1910002,380375525
알파자산운용,6556588963,26426286732,19468301580,24760823650,0,0,0,0,189774162179,0,1322455106039,223914510851,0,0,0,1813355779994,0,2023213998,-101285759768
알파플러스자산운용,0,0,10954798549,0,0,5944190677,0,0,-2098673046,0,0,104223469993,0,0,0,119023786173,0,-7785712,21220590744
알펜루트자산운용,1755713128,0,0,0,0,0,0,0,0,0,0,126618019481,0,0,0,128373732609,0,478347017,-16976462176
애쉬우드파트너스자산운용,0,0,0,0,0,18851236063,0,0,0,0,0,107377095,0,0,0,18958613158,0,12473862,-5080407805
앤도버자산운용,52841255374,0,1202636222,0,0,816077419,0,0,0,0,0,183816493865,0,0,0,238676462880,0,-92631651,32184848976
앱솔루트자산운용,16631075169,0,0,0,0,0,0,98105239553,6460193537,0,0,29403221837,0,0,0,150599730096,0,-416162569,20060535459
어닝자산운용,0,0,0,0,0,0,0,0,0,0,0,23502357823,0,0,0,23502357823,0,-12237391,-164282373
어라운드자산운용,12668740398,1645408181,0,0,0,0,0,0,0,0,0,4230672889,0,0,0,18544821468,0,-543127,-6065137430
어반자산운용,0,22638222962,0,0,0,0,0,0,195106712311,0,0,0,0,0,0,217744935273,0,72789972,4090626932
어스틴자산운용,0,0,0,0,0,0,0,0,0,0,0,25917636870,0,0,0,25917636870,0,755303396,-4293641838
어썸자산운용,0,0,6216085130,0,0,0,0,0,0,0,0,56977712785,0,0,0,63193797915,0,13888398,4456797520
얼라이언스번스틴자산운용,0,0,0,0,0,2254092047372,0,0,0,0,0,0,0,0,0,2254092047372,0,-13555891176,-852284598170
얼라인파트너스자산운용,0,0,0,0,0,0,0,619236330538,0,0,0,1069530636831,0,0,0,1688766967369,0,37778974604,471954777875
얼터너티브자산운용,18572392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18572392,0,-26976,-779783704
에너지인프라자산운용,0,0,0,0,0,0,0,0,0,0,431353138484,0,0,0,0,431353138484,0,170000654,8830085140
에셋플러스자산운용,3142932276051,24460125891,127942417414,0,0,0,0,54868988240,0,0,0,207014588008,0,0,0,3557218395604,0,12215335208,389508968700
에스비자산운용,0,0,0,0,0,0,0,0,0,0,0,334590608,0,0,0,334590608,0,6290,-175478559
에스아이자산운용,0,0,0,0,0,0,0,0,59559514583,0,0,0,0,0,0,59559514583,0,-1109252,51049639529
에스앤씨자산운용,0,0,0,0,0,0,0,0,0,0,0,96361082550,0,0,0,96361082550,0,1484298939,24627585546
에스에이치자산운용,0,0,0,0,0,0,0,0,0,0,0,13834045585,0,0,0,13834045585,0,50517125,-11980690756
에스티엔에이치자산운용,0,0,0,0,0,0,0,0,0,0,0,62656464283,0,0,0,62656464283,0,-558820435,4836574529
에스티프라이빗에쿼티운용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9741782
에스피자산운용,52990204275,205938473748,0,22416532818,0,0,0,0,0,0,0,26397415489,0,0,0,307742626330,0,1332135755,-4883227814
에이디에프자산운용,0,0,0,0,0,0,0,0,3069822480551,0,0,0,0,0,0,3069822480551,0,65417947,224689873561
에이비피자산운용,3503725312,0,151403290354,174328832025,0,15571246500,0,0,0,0,0,0,0,0,0,344807094191,0,286340310,137819771401
에이아이파트너스자산운용,0,0,0,0,0,2005027121539,0,0,144807507577,0,1730423029038,2395104680,0,0,0,3882652762834,0,21200245022,96539493666
에이아이피자산운용,3139355448,0,0,0,0,0,0,0,940867031544,0,0,13621776144,0,0,0,957628163136,0,-888913348,-34660334379
에이알에이코리아자산운용,0,0,0,0,0,0,0,0,1537361655091,0,0,0,0,0,0,1537361655091,0,403721436,-463294881926
에이에프더블유자산운용,0,0,0,0,0,0,0,0,0,0,0,20207336663,0,0,0,20207336663,0,346588,-4576515679
에이엠에스자산운용,0,0,0,0,0,0,0,0,0,0,0,56076990091,0,0,0,56076990091,0,-1982502,37154003797
에이올자산운용,0,0,965209186,0,0,0,0,0,0,0,0,5260567362,0,0,0,6225776548,0,-15981144,-780423247
에이원자산운용,0,0,125257312416,0,0,0,0,0,0,0,0,216412218774,0,0,0,341669531190,0,-479241249,7696069843
에이치디씨자산운용,699004688044,32874003981,111684033082,602880844306,0,79504989023,10200258365,45475600801,365579497509,0,42532641031,937880711477,0,0,0,2927617267619,0,6608447200,331077012765
에이치비자산운용,0,0,0,0,0,0,0,0,0,0,0,500045820,0,0,0,500045820,0,6543,-4638842336
에이치스톤자산운용,0,0,120645678,0,0,0,0,0,0,0,0,4615502845,0,0,0,4736148523,0,38032291,-594444793
에이치알자산운용,0,0,17160984669,0,0,0,0,0,0,0,0,222754678833,0,0,0,239915663502,0,300797194,3453750387
에이치에이치알자산운용,0,0,0,9986820,0,0,0,0,386788609222,0,0,0,0,0,0,386798596042,0,48630042,21098782729
에이치엠얼터너티브 주식회사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1373850738
에이치원자산운용,0,0,0,0,0,0,0,0,0,0,0,10075427266,0,0,0,10075427266,0,-134344,-72247764
에이치자산운용,7062396134,0,1260192656,0,0,0,0,0,0,0,0,13740674702,0,0,0,22063263492,0,-1015684,-1436207662
에이케이파트너스자산운용,143006591,0,0,500000000,0,7880893555,0,0,19463050219,0,0,733028218,0,0,0,28719978583,0,11299794,-31234857985
에이펙스자산운용,0,0,0,50078050000,0,0,0,0,0,0,0,0,0,0,0,50078050000,0,144290000,-79155897882
에이플랜자산운용,0,0,0,0,0,0,0,0,0,0,0,10024896518,0,0,0,10024896518,0,-1632320,-1020963437
에이피자산운용,0,0,910213688,0,0,0,0,0,849366143,0,0,2556849547,0,0,15273643299,19590072677,0,-8303052,-11290504437
에임즈자산운용,0,37663408804,0,0,0,0,0,0,1095360370,0,0,3436837489,0,0,0,42195606663,0,-5010499,-1612534116
에프엘자산운용,0,0,0,0,0,0,0,0,806112803634,0,0,0,0,0,0,806112803634,0,9153979,-7770882874
엑스포넨셜자산운용,0,0,0,27527068400,0,12512131798,0,2858028803,0,0,0,28376147394,0,0,0,71273376395,0,-695839837,21203970080
