회사명,주식,혼합주식,혼합채권,채권,투자계약,재간접,단기금융,파생형,부동산,실물,특별자산,혼합자산,기업성장,기관전용 사모펀드,투자일임기타,합계,위탁운용,전일대비,전년대비
린드먼파트너스자산운용,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,-3
릴라이언자산운용,3,1,2,0,0,0,0,0,1,0,0,6,0,0,0,13,0,0,3
릿지자산운용,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
마르스자산운용,5,0,1,0,0,1,0,0,0,0,0,6,0,0,0,13,0,0,4
마스터자산운용,1,6,0,0,0,0,0,0,0,0,0,9,0,0,0,16,0,0,4
마스턴투자운용,1,0,0,0,0,0,0,0,91,0,5,1,0,0,0,98,0,0,-5
마스트파트너스자산운용,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-1
마시펜아시아자산운용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
마에스트로자산운용,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0
마운틴자산운용,13,0,0,0,0,0,0,0,0,0,0,5,0,0,0,18,0,0,12
마이다스에셋자산운용,94,5,15,67,0,25,0,1,7,0,0,13,0,0,0,227,0,1,19
마인드자산운용,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,-1
마일스톤자산운용,0,1,4,0,0,1,0,3,9,0,0,11,0,0,0,29,0,0,2
마제스티자산운용,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,-2
마크자산운용,1,0,6,0,0,8,0,1,2,0,0,8,0,0,0,26,0,0,7
맥쿼리자산운용,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,6,0,0,1
머스트자산운용,0,0,0,0,0,1,0,0,0,0,0,28,0,0,0,29,0,0,7
머치앤모어자산운용,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0,8,0,0,6
머큐리자산운용,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0
메리디안원자산운용,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
메리츠대체투자운용,0,0,0,0,0,0,0,0,48,0,4,0,0,0,0,52,0,0,6
메이븐자산운용,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,-2
메이어스자산운용,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0
메자닌플러스자산운용,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,-3
메테우스자산운용,0,0,16,1,0,1,0,0,16,0,0,5,0,0,0,39,0,0,1
멜론자산운용,0,2,1,0,0,0,0,0,10,0,0,1,0,0,0,14,0,0,1
모다자산운용,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
모루자산운용,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0,0,1
모비딕자산운용,0,3,1,0,0,0,0,0,1,0,0,7,0,0,0,12,0,0,4
모트자산운용,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,3
모티브자산운용,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,2
미래에셋자산운용,485,79,164,289,0,7683,14,118,66,0,141,49,0,4,0,9092,0,-3,3478
바로자산운용,0,0,0,0,0,1,0,0,10,0,0,6,0,0,0,17,0,0,0
바스티언자산운용,1,0,0,0,0,1,0,0,2,0,0,4,0,0,0,8,0,0,0
밸류시스템자산운용,502,3,0,0,0,2,0,0,0,0,0,32,0,0,0,539,0,-1,132
밸류파트너스자산운용,30,2,1,0,0,0,0,0,0,0,0,1,0,0,0,34,0,0,4
베네투스자산운용,1,0,0,6,0,0,0,0,0,0,0,16,0,0,0,23,0,0,1
베스타스자산운용,0,0,0,0,0,0,0,0,61,0,4,0,0,0,0,65,0,0,4
베스턴자산운용,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2
베아투스자산운용,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0
베어링자산운용,49,3,2,8,0,34,0,0,0,0,5,0,0,0,0,101,0,0,-21
벤코어인베스트먼츠자산운용,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0
벨에포크자산운용,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0
보고펀드자산운용,0,1,2,0,0,69,0,0,66,0,88,30,0,0,0,256,0,0,25
